,q_year,q_status,cod_year,type_clean,mw1,region
354,2008.0,active,2013.0,Solar+Battery,500.0,CAISO
355,2008.0,withdrawn,2012.0,Gas,116.0,CAISO
356,2008.0,withdrawn,2009.0,Solar,50.0,CAISO
357,2008.0,withdrawn,2010.0,Gas,150.0,CAISO
358,2008.0,withdrawn,2014.0,Hydro,1300.0,CAISO
359,2008.0,withdrawn,2012.0,Gas,390.0,CAISO
360,2008.0,withdrawn,2010.0,Gas,338.0,CAISO
361,2008.0,withdrawn,2010.0,Solar,20.0,CAISO
362,2008.0,withdrawn,2012.0,Gas,315.0,CAISO
363,2008.0,withdrawn,2010.0,Gas,49.0,CAISO
364,2008.0,withdrawn,2011.0,Gas,50.0,CAISO
365,2008.0,withdrawn,2012.0,Solar,612.0,CAISO
366,2008.0,withdrawn,2013.0,Gas,600.0,CAISO
367,2008.0,active,2011.0,Gas+Battery,120.0,CAISO
368,2008.0,withdrawn,2012.0,Gas,600.0,CAISO
369,2008.0,withdrawn,2013.0,Solar,145.0,CAISO
370,2008.0,withdrawn,2013.0,Solar,240.0,CAISO
371,2008.0,withdrawn,2013.0,Solar,290.0,CAISO
372,2008.0,withdrawn,2012.0,Gas,85.0,CAISO
373,2008.0,withdrawn,2012.0,Solar,900.0,CAISO
374,2008.0,withdrawn,2011.0,Solar,600.0,CAISO
375,2008.0,withdrawn,2012.0,Solar,600.0,CAISO
376,2008.0,withdrawn,2015.0,Solar,900.0,CAISO
377,2008.0,withdrawn,2014.0,Solar,900.0,CAISO
378,2008.0,withdrawn,2015.0,Solar,900.0,CAISO
379,2008.0,withdrawn,2011.0,Solar,300.0,CAISO
380,2008.0,withdrawn,2010.0,Geothermal,15.0,CAISO
381,2008.0,withdrawn,2019.0,Geothermal,15.0,CAISO
382,2008.0,withdrawn,2011.0,Geothermal,15.0,CAISO
383,2008.0,withdrawn,2012.0,Geothermal,61.0,CAISO
384,2008.0,withdrawn,2012.0,Geothermal,53.0,CAISO
385,2008.0,withdrawn,2013.0,Geothermal,61.0,CAISO
386,2008.0,withdrawn,2013.0,Geothermal,53.0,CAISO
387,2008.0,withdrawn,2012.0,Geothermal,61.0,CAISO
388,2008.0,withdrawn,2012.0,Geothermal,61.0,CAISO
389,2008.0,withdrawn,2011.0,Solar,700.0,CAISO
390,2008.0,withdrawn,2010.0,Gas,50.0,CAISO
391,2008.0,withdrawn,2012.0,Gas,600.0,CAISO
392,2008.0,withdrawn,2012.0,Solar,30.0,CAISO
393,2008.0,withdrawn,2011.0,Gas,450.0,CAISO
394,2008.0,withdrawn,2012.0,Solar,450.0,CAISO
395,2008.0,withdrawn,2011.0,Wind,130.0,CAISO
396,2008.0,operational,2015.0,Solar,310.0,CAISO
397,2008.0,operational,2015.0,Solar,276.0,CAISO
398,2008.0,withdrawn,2011.0,Wind,150.0,CAISO
399,2008.0,withdrawn,2012.0,Solar,50.0,CAISO
400,2008.0,withdrawn,2012.0,Solar,50.0,CAISO
401,2008.0,operational,2014.0,Solar,250.0,CAISO
402,2008.0,withdrawn,2012.0,Solar,280.0,CAISO
403,2008.0,withdrawn,2012.0,Solar,280.0,CAISO
404,2008.0,withdrawn,2012.0,Solar,280.0,CAISO
405,2008.0,withdrawn,2012.0,Solar,280.0,CAISO
406,2008.0,withdrawn,2010.0,Wind,14.0,CAISO
407,2008.0,withdrawn,2012.0,Gas,400.0,CAISO
408,2008.0,withdrawn,2011.0,Gas,188.0,CAISO
409,2008.0,withdrawn,2013.0,Solar,50.0,CAISO
410,2008.0,active,2012.0,Solar,50.0,CAISO
411,2008.0,withdrawn,2012.0,Solar,50.0,CAISO
412,2008.0,withdrawn,2012.0,Solar,50.0,CAISO
413,2008.0,withdrawn,2014.0,Solar,250.0,CAISO
414,2008.0,withdrawn,2014.0,Solar,250.0,CAISO
415,2008.0,withdrawn,2014.0,Solar,250.0,CAISO
416,2008.0,withdrawn,2014.0,Solar,250.0,CAISO
417,2008.0,withdrawn,2014.0,Solar,250.0,CAISO
418,2008.0,operational,2018.0,Solar,100.0,CAISO
419,2008.0,withdrawn,2014.0,Solar,250.0,CAISO
420,2008.0,withdrawn,2014.0,Solar,150.0,CAISO
421,2008.0,withdrawn,2014.0,Solar,250.0,CAISO
422,2008.0,withdrawn,2015.0,Solar,250.0,CAISO
423,2008.0,withdrawn,2015.0,Solar,500.0,CAISO
424,2008.0,withdrawn,2014.0,Solar,250.0,CAISO
425,2008.0,withdrawn,2014.0,Solar,250.0,CAISO
426,2008.0,withdrawn,2011.0,Wind,350.0,CAISO
427,2008.0,withdrawn,2011.0,Wind,500.0,CAISO
428,2008.0,withdrawn,2011.0,Solar,500.0,CAISO
429,2008.0,withdrawn,2011.0,Solar,500.0,CAISO
