index,q_year,request_status,fuel,NAME,state,$2022_poi_cost/kw,$2022_network_cost/kw,$2022_total_cost/kw,nameplate_mw,lat,lon
228,2016,Complete,Solar,mecklenburg,VA,44.05837137,147.2433832,191.3017546,149.9,36.67882005,-78.36131056
229,2016,Complete,Solar,middlesex,NJ,9.559642949,21.92036407,31.48000702,13.1,40.43629879,-74.41426991
230,2016,Complete,Solar,orange,VA,8.488497061,125.8018056,134.2903027,62.5,38.24807863,-78.01156566
231,2016,Complete,Solar,pickaway,OH,0,25.44880391,25.44880391,199.6,39.64170392,-83.0243386
232,2016,Complete,Solar,pike,KY,109.5962691,39.45465686,149.0509259,50,37.47088263,-82.39487445
233,2016,Complete,Solar,pittsylvania,VA,30.16275032,83.44053939,113.6032897,192,36.81980341,-79.39731264
234,2016,Complete,Solar,powhatan,VA,0,0,0,20,37.55016038,-77.91267882
235,2016,Complete,Solar,prince george,VA,3.762470743,79.82933477,83.59180551,160,37.1854013,-77.22950752
236,2016,Complete,Solar,randolph,IN,0,3.1,3.1,100,40.15734772,-85.01139319
237,2016,Complete,Solar,ross,OH,20.57025082,65.06878061,85.63903144,49.9,39.33705391,-83.06000914
238,2016,Complete,Solar,spotsylvania,VA,8.086661514,5.503825227,13.59048674,500,38.18574362,-77.6554001
239,2016,Complete,Solar,surry,VA,5.707258673,35.92122858,41.62848725,240.3,37.11782639,-76.88446978
240,2016,Complete,Solar,sussex,VA,5.457460085,63.32787085,68.78533095,70,36.92434826,-77.25788472
241,2016,Complete,Solar,warren,NC,8.997805824,106.8171544,115.8149602,65,36.39728256,-78.10652228
242,2016,Complete,Wind Onshore,lee,IL,0.318791042,0,0.318791042,70.4,41.74583951,-89.29977132
243,2016,Complete,Wind Onshore,paulding,OH,7.348274843,10.52590721,17.87418205,75.9,41.11676341,-84.5801017
244,2016,Withdrawn,Natural Gas,charles city,VA,3.993627486,6.921646817,10.9152743,2660,37.3535706,-77.05632773
245,2016,Withdrawn,Natural Gas,harrison,OH,0.819593551,42.45605743,43.27565098,1050,40.29376929,-81.09064708
246,2016,Withdrawn,Natural Gas,hudson,NJ,0,89.01597792,89.01597792,1041.4,40.75436378,-74.07743191
247,2016,Withdrawn,Natural Gas,marshall,WV,5.563262389,1.390815597,6.954077987,394,39.86064362,-80.66591062
248,2016,Withdrawn,Natural Gas,middlesex,NJ,0,335.6765839,335.6765839,675,40.43629879,-74.41426991
249,2016,Withdrawn,Solar,king george,VA,13.42176798,209.2734669,222.6952349,18,38.26817691,-77.15851654
250,2016,Withdrawn,Solar,luzerne,PA,28.53698003,30.71876461,59.25574464,20,41.17821699,-75.9850149
251,2016,Withdrawn,Solar,marion,OH,2.792327273,76.62338954,79.41571681,150,40.58610662,-83.15736305
252,2016,Withdrawn,Solar,mecklenburg,VA,0,5.205822781,5.205822781,20,36.67882005,-78.36131056
253,2016,Withdrawn,Solar,perquimans,NC,51.27220337,143.0820939,194.3542973,5,36.17847453,-76.40603143
254,2016,Withdrawn,Solar,prince edward,VA,8.21972018,291.1759522,299.3956724,240,37.22553089,-78.43593963
255,2016,Withdrawn,Solar,ross,OH,13.69953363,12.32958027,26.0291139,40,39.33705391,-83.06000914
256,2016,Withdrawn,Solar,washington,NC,12.49249512,396.8411309,409.3336261,20,35.83810081,-76.57299037
257,2016,Withdrawn,Solar,york,PA,79.15286099,0,79.15286099,18,39.92283716,-76.73159403
